start_station_name,member_rides,casual_rides,total_rides,casual_share
Streeter Dr & Grand Ave,14879.0,53104.0,67983.0,0.7811364605857347
Canal St & Adams St,50575.0,3814.0,54389.0,0.07012447369872585
Clinton St & Madison St,45990.0,3918.0,49908.0,0.07850444818465978
Lake Shore Dr & Monroe St,10566.0,39238.0,49804.0,0.7878483655931251
Clinton St & Washington Blvd,45378.0,2775.0,48153.0,0.05762880817394555
Columbus Dr & Randolph St,31370.0,7822.0,39192.0,0.19958154725454175
Michigan Ave & Washington St,25468.0,12228.0,37696.0,0.32438455008488964
Michigan Ave & Oak St,14061.0,21388.0,35449.0,0.603345651499337
Lake Shore Dr & North Blvd,15520.0,18952.0,34472.0,0.5497795312137387
Franklin St & Monroe St,30832.0,3465.0,34297.0,0.1010292445403388
Millennium Park,12357.0,21749.0,34106.0,0.63768838327567
Daley Center Plaza,30423.0,3452.0,33875.0,0.10190405904059041
Kingsbury St & Kinzie St,30654.0,2448.0,33102.0,0.07395323545405111
Theater on the Lake,16974.0,15027.0,32001.0,0.4695790756538858
Canal St & Madison St,27138.0,2693.0,29831.0,0.0902752170560826
Shedd Aquarium,5815.0,20617.0,26432.0,0.7800015133171913
Clark St & Elm St,21485.0,4148.0,25633.0,0.16182265048960326
LaSalle St & Jackson Blvd,23021.0,2357.0,25378.0,0.09287571912680274
Wabash Ave & Grand Ave,18505.0,6029.0,24534.0,0.24574060487486754
Wells St & Huron St,21143.0,3026.0,24169.0,0.12520170466299804
Dearborn St & Erie St,20232.0,3899.0,24131.0,0.16157639550785297
Orleans St & Merchandise Mart Plaza,21356.0,2588.0,23944.0,0.10808553291012363
Clinton St & Lake St,21567.0,1815.0,23382.0,0.07762381318963305
Wells St & Concord Ln,18622.0,4350.0,22972.0,0.18936096117012013
Michigan Ave & Lake St,17410.0,5397.0,22807.0,0.23663787433682643
Larrabee St & Kingsbury St,20904.0,1817.0,22721.0,0.07997007173980018
Desplaines St & Kinzie St,19427.0,2530.0,21957.0,0.1152252129161543
St. Clair St & Erie St,17332.0,4540.0,21872.0,0.20757132406730067
Clark St & Armitage Ave,14881.0,6608.0,21489.0,0.3075061659453674
Indiana Ave & Roosevelt Rd,12922.0,8029.0,20951.0,0.38322753090544603
Fairbanks Ct & Grand Ave,15477.0,5125.0,20602.0,0.2487622560916416
Wells St & Hubbard St,17118.0,3379.0,20497.0,0.1648533931794897
Dearborn St & Monroe St,18144.0,2349.0,20493.0,0.11462450592885376
McClurg Ct & Illinois St,13086.0,6977.0,20063.0,0.34775457309475155
State St & Randolph St,16136.0,3632.0,19768.0,0.1837312828814245
Wabash Ave & Roosevelt Rd,15914.0,3803.0,19717.0,0.19287924126388395
Clark St & Lincoln Ave,12950.0,6715.0,19665.0,0.3414696160691584
Damen Ave & Pierce Ave,15546.0,4086.0,19632.0,0.20812958435207823
Franklin St & Jackson Blvd,16394.0,2985.0,19379.0,0.15403271582641004
Ashland Ave & Division St,16029.0,2940.0,18969.0,0.15498972006958722
State St & Kinzie St,15764.0,3183.0,18947.0,0.1679949332348129
Kingsbury St & Erie St,17256.0,1690.0,18946.0,0.08920088673070833
Wilton Ave & Belmont Ave,14990.0,3776.0,18766.0,0.2012149632313759
LaSalle St & Illinois St,14412.0,3995.0,18407.0,0.21703699679469768
Sheffield Ave & Fullerton Ave,15129.0,2927.0,18056.0,0.1621067789100576
Morgan St & Lake St,15307.0,2486.0,17793.0,0.13971786657674368
Broadway & Barry Ave,13686.0,3991.0,17677.0,0.22577360411834588
Dusable Harbor,4607.0,12546.0,17153.0,0.7314172447968286
Dearborn Pkwy & Delaware Pl,14144.0,2749.0,16893.0,0.1627301249038063
Adler Planetarium,4807.0,11928.0,16735.0,0.712757693456827
